feature,p_value,f_score
dimension,0.0,4397.147091353775
pca_evr_dim_0,0.0,25781.718403295723
pca_evr_dim_2,0.0,10372.15340973659
pca_evr_dim_3,0.0,9442.229618302345
pca_evr_dim_4,0.0,4124.16476773533
log_n_customers,0.0,35585.508571294406
log_bounding_hypervolume,0.0,3521.0201348595133
pca_cum_evr_k2,0.0,22149.15053282856
log_mst_diameter,0.0,3445.5140141049883
log_mst_high_degree_count,0.0,37439.57659606018
log_k_size_ratio,0.0,1981.0302396340535
log_k_total_intra_mst_cost,0.0,5557.510858467711
log_k_inter_centroid_mst_cost,0.0,8738.323779389775
log_k_cost_ratio,0.0,16603.35779167026
log_k_centroid_dist_mean,0.0,9304.860294164537
log_large_edge_count,0.0,20080.341533935007
mst_degree_max,0.0,34852.38445408077
int_cost_x_silhouette,0.0,3003.3803788538607
mst_degree_std,0.0,15179.229054805555
pairwise_kurtosis,0.0,4160.533723999156
mst_degree_mean,0.0,56512.316589803115
log_pairwise_min,4.2590877172587497e-308,1429.6361061346101
log_nn_min,4.2590877172587497e-308,1429.6361061346101
log_mst_edge_min,4.2590877172587497e-308,1429.6361061346101
pca_evr_dim_1,1.0881498518165104e-280,1299.7600877388334
log_mst_edge_std,6.190487453561983e-278,1286.7249898910816
k_num_clusters,1.36928093505623e-274,1270.9046325648283
log_nn_std,1.3264208039251351e-209,964.6149235444923
pca_ev_dim_3,1.7000977469245876e-195,898.3975827073261
log_aspect_ratio,3.35759374496389e-186,854.821389945068
pca_ev_dim_2,6.648945210924173e-161,736.4534633535231
log_avg_ln_n_nn_dist,6.229164528127698e-158,722.5696899510854
log_mst_edge_mean,4.1599449427431486e-150,686.034201496371
log_nn_iqr,7.487279663150584e-142,647.5223406847007
log_pairwise_q10,5.281182055202953e-130,592.309743271806
pairwise_skew,6.570046689941498e-122,554.6310237778741
log_k_centroid_dist_std,1.2511516484831638e-120,548.6774630514283
pca_ev_dim_4,1.4765095642835226e-117,534.3899709383511
log_nn_mean,1.444929738683296e-115,525.1343899548237
k_silhouette_score,7.997377549997542e-102,461.2935727551157
log_pairwise_q25,4.14723958652714e-85,383.7929386496657
mst_edge_kurtosis,1.4601512862744492e-79,358.1120138572665
log_mst_edge_max,2.7558057541065067e-76,342.9538691784879
pca_ev_dim_0,4.760856161605835e-66,295.6280963459623
log_pairwise_max,4.955960136416234e-66,295.5475226076892
k_alignment_error,2.481164744962192e-59,264.61641558375294
mst_edge_skew,4.5390215538920694e-49,217.30382604233174
log_centroid_dist_std,1.4620694673929557e-48,214.96407556383477
log_centroid_dist_mean,1.915434356293997e-48,214.42385704292897
nn_std_mean_ratio,2.7339844555653568e-48,213.7121982182321
pca_ev_dim_1,2.78895379679564e-48,213.67238434188417
nn_ratio_2_3,5.079429805789396e-47,207.86875607054597
log_nn_max,2.036151644051319e-44,195.88754592126435
log_centroid_dist_max,9.049113395398054e-40,174.51155331315672
mst_max_mean_ratio,5.7532442478019544e-39,170.8194041161695
log_pairwise_q50,1.1120606011298625e-34,151.1323385506829
log_pairwise_mean,7.450578421390668e-31,133.57975692961747
log_node_density,1.7019330123056938e-26,113.61223885670587
std_dim_0,2.035326633209543e-24,104.1072333922736
std_dim_2,3.5603899934082256e-24,102.99680592320502
std_dim_3,7.675706038618345e-23,96.90170539482759
std_dim_1,1.683691223057419e-20,86.213255481294
log_pairwise_q75,1.0961067903919907e-19,82.50264718888877
log_pairwise_q90,3.725085317294732e-19,80.08076216117966
log_centroid_dist_iqr,2.0506470072331703e-18,76.70565380496205
log_avg_3nn_dist,7.261112242037029e-16,65.10798603098858
mst_edge_std_ratio,3.413438510383606e-14,57.51717863748648
std_dim_4,3.98717526223522e-12,48.15657180219651
pca_eigenvalue_ratio,9.787219949204236e-08,28.42473936991082
log_pairwise_iqr,0.01043633410145594,6.5593981744954855
log_pairwise_std,0.011259818858171667,6.4243637785793295
log_centroid_dist_min,0.02206696818061572,5.240853604880201
